series_tag,display_name,post_count,priority,status,note
touhou,Touhou,1061080,1,pending,
kantai_collection,Kantai Collection,537522,2,pending,
blue_archive,Blue Archive,418836,3,pending,
fate_(series),Fate  (Series),396382,4,pending,
pokemon,Pokemon,388130,5,pending,
hololive,Hololive,314208,6,pending,
genshin_impact,Genshin Impact,299235,7,pending,
fate/grand_order,Fate/Grand Order,296011,8,pending,
idolmaster,Idolmaster,277634,9,pending,
umamusume,Umamusume,211992,10,pending,
arknights,Arknights,211444,11,pending,
vocaloid,Vocaloid,200242,12,pending,
honkai_(series),Honkai  (Series),178062,13,pending,
azur_lane,Azur Lane,153360,14,pending,
idolmaster_cinderella_girls,Idolmaster Cinderella Girls,134494,15,pending,
honkai:_star_rail,Honkai: Star Rail,125583,16,pending,
love_live!,Love Live!,124094,17,pending,
fire_emblem,Fire Emblem,120625,18,pending,
hololive_english,Hololive English,108699,19,pending,
final_fantasy,Final Fantasy,104056,20,pending,
zenless_zone_zero,Zenless Zone Zero,93293,21,pending,
nijisanji,Nijisanji,86572,22,pending,
mahou_shoujo_madoka_magica,Mahou Shoujo Madoka Magica,82548,23,pending,
indie_virtual_youtuber,Indie Virtual Youtuber,79415,24,pending,
girls'_frontline,Girls' Frontline,77477,25,pending,
girls_und_panzer,Girls Und Panzer,72502,26,pending,
gundam,Gundam,68474,27,pending,
danganronpa_(series),Danganronpa  (Series),66499,28,pending,
precure,Precure,66290,29,pending,
mahou_shoujo_madoka_magica_(anime),Mahou Shoujo Madoka Magica  (Anime),59037,30,pending,
kemono_friends,Kemono Friends,57706,31,pending,
jojo_no_kimyou_na_bouken,Jojo No Kimyou Na Bouken,54026,32,pending,
one_piece,One Piece,52259,33,pending,
granblue_fantasy,Granblue Fantasy,52252,34,pending,
honkai_impact_3rd,Honkai Impact 3Rd,51584,35,pending,
bang_dream!,Bang Dream!,51576,36,pending,
wuthering_waves,Wuthering Waves,48931,37,pending,
persona,Persona,46173,38,pending,
idolmaster_shiny_colors,Idolmaster Shiny Colors,44711,39,pending,
project_moon,Project Moon,44533,40,pending,
chainsaw_man,Chainsaw Man,43378,41,pending,
idolmaster_(classic),Idolmaster  (Classic),43167,42,pending,
fate/stay_night,Fate/Stay Night,43150,43,pending,
yu-gi-oh!,Yu-Gi-Oh!,42331,44,pending,
boku_no_hero_academia,Boku No Hero Academia,42181,45,pending,
goddess_of_victory:_nikke,Goddess Of Victory: Nikke,41314,46,pending,
final_fantasy_vii,Final Fantasy Vii,39108,47,pending,
love_live!_school_idol_project,Love Live! School Idol Project,38529,48,pending,
the_legend_of_zelda,The Legend Of Zelda,36878,49,pending,
bang_dream!_it's_mygo!!!!!,Bang Dream! It'S Mygo!!!!!,36660,50,pending,
neon_genesis_evangelion,Neon Genesis Evangelion,34668,51,pending,
love_live!_hasu_no_sora_jogakuin_school_idol_club,Love Live! Hasu No Sora Jogakuin School Idol Club,34269,52,pending,
league_of_legends,League Of Legends,33973,53,pending,
pokemon_sword_and_shield,Pokemon Sword And Shield,33939,54,pending,
final_fantasy_xiv,Final Fantasy Xiv,33672,55,pending,
fire_emblem_heroes,Fire Emblem Heroes,33625,56,pending,
street_fighter,Street Fighter,32790,57,pending,
limbus_company,Limbus Company,32715,58,pending,
splatoon_(series),Splatoon  (Series),32210,59,pending,
ragnarok_online,Ragnarok Online,31554,60,pending,
idolmaster_million_live!,Idolmaster Million Live!,31492,61,pending,
pokemon_scarlet_and_violet,Pokemon Scarlet And Violet,31333,62,pending,
fire_emblem:_three_houses,Fire Emblem: Three Houses,30933,63,pending,
bocchi_the_rock!,Bocchi The Rock!,30483,64,pending,
mario_(series),Mario  (Series),30236,65,pending,
dragon_ball,Dragon Ball,29309,66,pending,
xenoblade_chronicles_(series),Xenoblade Chronicles  (Series),28451,67,pending,
project_sekai,Project Sekai,28006,68,pending,
princess_connect!,Princess Connect!,27429,69,pending,
k-on!,K-On!,27224,70,pending,
toaru_majutsu_no_index,Toaru Majutsu No Index,27215,71,pending,
pokemon_(anime),Pokemon  (Anime),26288,72,pending,
utau,Utau,26284,73,pending,
marvel,Marvel,26136,74,pending,
danganronpa_2:_goodbye_despair,Danganronpa 2: Goodbye Despair,25842,75,pending,
sousou_no_frieren,Sousou No Frieren,25661,76,pending,
world_witches_series,World Witches Series,25459,77,pending,
lyrical_nanoha,Lyrical Nanoha,25440,78,pending,
suzumiya_haruhi_no_yuuutsu,Suzumiya Haruhi No Yuuutsu,25314,79,pending,
naruto_(series),Naruto  (Series),25004,80,pending,
danganronpa_v3:_killing_harmony,Danganronpa V3: Killing Harmony,24571,81,pending,
gakuen_idolmaster,Gakuen Idolmaster,24436,82,pending,
voiceroid,Voiceroid,23612,83,pending,
pokemon_sun_and_moon,Pokemon Sun And Moon,23595,84,pending,
love_live!_sunshine!!,Love Live! Sunshine!!,23133,85,pending,
mega_man_(series),Mega Man  (Series),22803,86,pending,
jujutsu_kaisen,Jujutsu Kaisen,22750,87,pending,
reverse:1999,Reverse:1999,22734,88,pending,
guilty_gear,Guilty Gear,22289,89,pending,
fate/extra,Fate/Extra,22080,90,pending,
re:zero_kara_hajimeru_isekai_seikatsu,Re:Zero Kara Hajimeru Isekai Seikatsu,21548,91,pending,
omori,Omori,21488,92,pending,
fire_emblem_fates,Fire Emblem Fates,21460,93,pending,
love_live!_nijigasaki_high_school_idol_club,Love Live! Nijigasaki High School Idol Club,21338,94,pending,
